QUESTION,ANSWER
"QUESTION10683) This question is based on the following declarations: String strA = ""CARROT"", strB = ""Carrot"", strC = ""car""; Given that all uppercase letters precede all lowercase letters when considering alphabetical order, which is true?
(A) strC.compareTo(strB) > 0 && strB.compareTo(strA) > 0
(B) strA.compareTo(strC) > 0 && strC.compareTo(strB) < 0
(C) strB.compareTo(strC) < 0 && strB.compareTo(strA) > 0
(D) !(strB.compareTo(strA) == 0) && strA.compareTo(strB) > 0
(E) strB.compareTo(strC) > 0 && strA.compareTo(strB) < 0
(F) strC.compareTo(strB) < 0 && strB.compareTo(strA) < 0
(G) strA.compareTo(strB) < 0 && strB.compareTo(strC) > 0
(H) !(strA.compareTo(strB) == 0) && strB.compareTo(strA) < 0",C
"QUESTION5174) What are the tallest trees on Earth?
(A) Noble Fir
(B) Coast Redwood
(C) Sitka Spruce
(D) Coast Douglas Fir
(E) Giant Sequoia
(F) Yellow Meranti
(G) Bald Cypress
(H) Mountain Ash
(I) Ponderosa Pine
(J) Western Red Cedar",B
"QUESTION2723) According to the Gestalt organizing principles of perception, when you look at, ""i n car n a t e,"" you tend to notice the word car rather than in, nate, at, or ate, because of
(A) symmetry
(B) complexity
(C) novelty
(D) similarity
(E) proximity
(F) continuity
(G) the phi phenomenon
(H) common fate
(I) closure",E
"QUESTION1655) A state has a statute generally prohibiting the installation and use of radar detection devices in any motor vehicle operating on the roadways within the state. This prohibition was enacted to prevent motorists from evading radar or speed checkpoints on county and state highways. A neighboring state has no such regulation in effect. By the same token, Congress has taken no action on the matter. A resident of the neighboring state has installed a radar detection device in his automobile. While driving to visit his mother he is arrested and charged with violating the aforementioned state statute. The resident files a complaint challenging the constitutionality of the state statute. As applied to the resident, the state prohibition against the use of radar detection devices is likely to be held
(A) constitutional, because it can be considered a reasonable restriction on the right to privacy.
(B) unconstitutional, because it unduly burdens interstate commerce.
(C) unconstitutional, because the state statute fails to give credit to the law of a neighboring state.
(D) constitutional, because the commerce clause does not invalidate a state regulation relating to interstate commerce unless Congress takes express action to do so.
(E) constitutional, because states have the power to regulate their own roads and highways.
(F) constitutional, because it protects a legitimate state interest.
(G) unconstitutional, because it infringes on the rights of residents of other states.
(H) unconstitutional, because the state statute is preempted by federal law.
(I) unconstitutional, because it violates the Fourth Amendment's prohibition against unreasonable searches and seizures.",F
"QUESTION9317) The highest ocean tides occur when Earth and the Moon are
(A) at a 45-degree angle to the Sun
(B) both at their furthest point from the Sun
(C) both at their closest point to the Sun
(D) lined up during winter
(E) at any angle to the Sun
(F) furthest from each other
(G) at right angles to the Sun
(H) lined up with the Sun
(I) lined up during spring
(J) closest to each other",H
"QUESTION593) How much interest will George pay on a 6-month loan of $300 at 8% interest?
(A) $26
(B) $16
(C) $12
(D) $20
(E) $10
(F) $30
(G) $22
(H) $14
(I) $24
(J) $18",C
"QUESTION5362) Which of the following is an example of devolution?
(A) Allowing states to decide how to meet federally mandated greenhouse gas emissions targets
(B) The federal government setting a minimum wage that all states must meet
(C) A state being prevented from implementing a fuel efficiency standard that is more stringent than that set by the federal government
(D) A ""race to the bottom"" in which states compete with one another to have the fewest environmental regulations
(E) A state being forced to comply with federal immigration policies
(F) The federal government establishing nationwide educational standards
(G) A state choosing to implement stricter gun control laws than those mandated by the federal government
(H) A state that decriminalizes all drug use, contrary to federal law
(I) A state that legalizes marijuana possession in conflict with federal law
(J) The federal government overriding a state's decision to legalize same-sex marriage",A
"QUESTION7956) (i + 1)(5 – 5i)(5 + 5i) =
(A) 50 – 50i
(B) 75 - 75i
(C) 50 + 50i
(D) 25 + 25i
(E) 50 - 25i
(F) 50 + 25i
(G) 100 - 100i
(H) 100 + 100i
(I) 75 + 75i
(J) 25 – 25i",C
"QUESTION9346) In an experiment with a stellar interferometer, the fringes from the star Betelgeuse had zero visibility for a wave-length in the middle of the visible spectrum for a separa-tion of the mirrors of 3m. Estimate the angle subtended by Betelgeuse in arc seconds.
(A) 0.046 second of arc
(B) 0.040 second of arc
(C) 0.058 second of arc
(D) 0.093 second of arc
(E) 0.030 second of arc
(F) 0.034 second of arc
(G) 0.072 second of arc
(H) 0.052 second of arc
(I) 0.085 second of arc
(J) 0.065 second of arc",A
"QUESTION2227) The primary research method used by developmental psychologists is
(A) psychoanalysis
(B) self-report inventories
(C) longitudinal research
(D) naturalistic observation
(E) experimental method
(F) experimentation
(G) correlational research
(H) survey research
(I) cross-sectional research
(J) case study",I
"QUESTION290) On October 17, Thomas Long purchased two $1,000 bonds, bearing 6% interest payable January 1 and July 1, at 98. Find his total cost, and the net proceeds to the seller. Assume a brokerage fee of $5 per bond.
(A) $2,006 and $1,996
(B) $1,990 and $1,970
(C) $2,015 and $1,995
(D) $2,006 and $1,986
(E) $2,020 and $2,000
(F) $2,010 and $1,980
(G) $1,960 and $1,986
(H) $2,000 and $1,970
(I) $1,995 and $1,975
(J) $1,980 and $1,960",D
"QUESTION1521) A defendant, a nurse at a nursing home, is charged with murdering a resident at the home by adding an allegedly lethal substance to the resident's food. At trial, to prove that the substance added to the resident's food could result in death, the prosecutor, without first calling any witnesses, offers to read into evidence several pages from a standard medical treatise that support the prosecution's claim that the substance the defendant added to the food is lethal. Is the evidence offered admissible?
(A) Yes, because the lethal nature of the substance is relevant to the defendant's state of mind and intent.
(B) No, because the treatise must be confirmed by an expert in the field before being admissible.
(C) Yes, because the treatise is a public document and therefore exempt from the hearsay rule.
(D) No, because the treatise itself must be introduced as an exhibit.
(E) Yes, because the prosecutor is allowed to introduce evidence without calling witnesses.
(F) No, because the treatise excerpts are considered hearsay and do not qualify for an exception.
(G) Yes, although hearsay, under the learned treatise exception to the hearsay rule.
(H) Yes, because the prosecution is merely providing evidence that supports their claim.
(I) No, because the treatise excerpts were not offered during the examination of a qualified expert.
(J) No, because the substance's lethal nature is not relevant to the case.",I
"QUESTION5260) Ace Co. issued 1000 shares of its $10 par value common stock for $15 per share in cash. How should this transaction be reported in Ace's statement of cash flows for the year of issuance?
(A) $15000 cash inflow from operating activities.
(B) $10000 cash inflow from financing activities and $5000 cash outflow from investing activities.
(C) $15000 cash inflow from financing activities.
(D) No impact on cash flows as it is a non-cash transaction.
(E) $15000 cash flow from investing activities.
(F) $15000 cash outflow from financing activities.
(G) $10000 cash flow from investing activities and $5000 adjustment to arrive at cash flows from operating activities.
(H) $10000 cash inflow from financing activities and $5000 adjustment to arrive at cash flows from operating activities.
(I) $10000 cash outflow from investing activities and $5000 adjustment to arrive at cash flows from financing activities.
(J) $5000 cash inflow from financing activities and $10000 adjustment to arrive at cash flows from operating activities.",C
"QUESTION10508) Let x = 1. What is x << 3 in Python 3?
(A) 16
(B) 4
(C) 8
(D) 5
(E) 10
(F) 2
(G) 12
(H) 3
(I) 1
(J) 6",C
"QUESTION4736) The fact that early excavators of Teotihuacán mistook ordinary housing compounds for palaces suggests:
(A) the society was a theocracy, ruled by high priests.
(B) commoners took over the residences of the elite.
(C) the city was a democracy, ruled by common farmers and artisans.
(D) the general standard of living was high.
(E) the elite lived in ordinary housing compounds to blend in with the commoners.
(F) the housing compounds were built with materials typically used for palaces.
(G) the city's economic system was based on wealth distribution.
(H) the city was abandoned and later occupied by a different civilization.
(I) the society was mostly egalitarian, with almost no social stratification.
(J) the excavators were inexperienced in identifying historical structures.",D
"QUESTION3584) At standard conditions, it is found that 28.0 g of carbon monoxide occupies 22.4 l. What is the density of carbon monoxide at 20°C and 600 torr?
(A) 1.96 g/l
(B) 1.00 g/l
(C) 0.789 g/l
(D) 1.25 g/l
(E) 0.50 g/l
(F) 2.225 g/l
(G) 1.482 g/l
(H) .9198 g/l
(I) 0.625 g/l
(J) 0.345 g/l",H
"QUESTION4080) The molar heat of vaporization of water is +43.9 kJ. What is the entropy change for the vaporization of water?
(A) 16.2 J mol-1 K-1
(B) 2.78 J mol-1 K-1
(C) 22.1 J mol-1 K-1
(D) 35.0 J mol-1 K-1
(E) 8.49 J mol-1 K-1
(F) 5.67 J mol-1 K-1
(G) 4.184 J mol-1 K-1
(H) 118 J mol-1 K-1
(I) 10.5 J mol-1 K-1
(J) 50.0 J mol-1 K-1",H
"QUESTION1301) A developer wished to build an apartment house in a local city. He raised $1 million from various sources to fund the project. After searching for a vacant lot that would be sufficient for development, the developer concluded that there was not a suitable vacant lot available. Reluctantly, the developer concluded that he would have to purchase a developed lot, have the existing structures removed, and then build the apartment house. The developer was reluctant to do this, because he had not budgeted for the additional cost of buying a developed property and removing the development. After a search for an appropriate parcel, the developer purchased a large lot, developed with a single-story residential home, for $200,000. He then spent $50,000 having the residential home removed from the lot. Knowing that it would cost approximately $850,000 to build the apartment house, the developer realized he would need to raise another $100,000. He approached an investor about lending him $100,000. The investor was apprehensive about the project because the developer had not yet lined up a construction firm to build the apartment house. As a result, the parties signed the following written agreement:""The investor promises to lend to the developer $100,000 at 5 percent interest within 30 days, provided the developer contracts with a construction company to build the apartment house for no more than $850,000. Loan to be repaid at the rate of $1,000 per month, starting one month after the completion of the apartment house. The loan is to be secured by a mortgage on the property. ""The developer then contracted with a construction company to build the apartment for $800,000. After the contract was signed and construction had begun, the developer asked the investor when he would be receiving the $100,000 the investor promised to lend him. The investor replied, ""I've changed my mind. I think this is too risky an investment. I'm not going to lend you the money. ""In an appropriate action to secure specific performance of the investor's promise to lend him the $100,000, the developer will
(A) win, because there is a memorandum that satisfies the Statute of Frauds.
(B) win, because land is unique, making the legal remedy inadequate.
(C) lose, because the developer's only remedy is for damages.
(D) lose, because the developer cannot show detrimental reliance.",C
"QUESTION4775) This question refers to the following information.
Seizing me, he led me down to the House of Darkness…
To the house where those who enter do not come out,
Along the road of no return,
To the house where those who dwell, do without light,
Where dirt is their drink, their food is of clay…
Where light cannot be seen. They dwell in the dark,
And upon the door and bolt, there lies dust.
from Tablet VII, The Epic of Gilgamesh, Sumeria, ca. 2100 B.C.E.
Truth is good and its worth is lasting.
It has not been disturbed since the day of its creator,
Whereas he who transgresses its ordinances is punished.
It lies as a path in front of even him who knows nothing.
Wrongdoing has never yet brought its venture to port…
Those whom the gods guide cannot lose themselves.
Those to whom they forbid passage will not be able to cross the river of life.
from The Maxims of Ptahhotep, Egypt, ca. 2400 B.C.E.
The above texts are best understood in the context of which of the following?
(A) The use of religion to enforce legal norms
(B) The use of religion to dictate artistic expressions
(C) The use of religion to justify gender relations
(D) The use of religion to structure economic transactions
(E) The use of religion to ponder conceptions of the afterlife
(F) The use of religion to explain social hierarchy
(G) The use of religion to legitimize political power
(H) The use of religion to establish educational systems
(I) The use of religion to justify military conquests",E
"QUESTION8344) In the casino game of roulette, there are 38 slots for a ball to drop into when it is rolled around the rim of a revolving wheel: 18 red, 18 black, and 2 green. What is the probability that the first time a ball drops into the red slot is on the 8th trial (in other words, suppose you are betting on red every time-what is the probability of losing 7 straight times before you win the first time)?
(A) 0.0333
(B) 0.0256
(C) 0.0202
(D) 0.0053
(E) 0.0101
(F) 0.0112
(G) 0.0179
(H) 0.0278
(I) 0.0074
(J) 0.0158",D
"QUESTION2154) In a skewed smooth distribution with a tail exended to the left, the statistic with the highest value is the
(A) median
(B) interquartile range
(C) geometric mean
(D) quartile deviation
(E) variance
(F) range
(G) standard deviation
(H) mean
(I) mode
(J) harmonic mean",I
"QUESTION10365) Statement 1| RELUs are not monotonic, but sigmoids are monotonic. Statement 2| Neural networks trained with gradient descent with high probability converge to the global optimum.
(A) True, False
(B) True, True
(C) Both statements are partially true
(D) Statement 1 cannot be determined, Statement 2 is false
(E) Both statements cannot be determined
(F) False, False
(G) Statement 1 is false, Statement 2 cannot be determined
(H) Statement 1 cannot be determined, Statement 2 is true
(I) Statement 1 is true, Statement 2 cannot be determined
(J) False, True",J
"QUESTION7351) All else equal when the United States exports more goods and services
(A) the value of the dollar rises as the supply of dollars decreases.
(B) the value of the dollar falls as demand for dollars decreases.
(C) the value of the dollar falls as the supply of dollars decreases.
(D) the value of the dollar remains the same regardless of the supply and demand for dollars.
(E) the value of the dollar falls as the supply of dollars increases.
(F) the value of the dollar rises as demand for dollars increases.
(G) the value of the dollar remains stable as the supply and demand for dollars are balanced.
(H) the value of the dollar rises as the supply of dollars increases.
(I) the value of the dollar falls, as the demand for dollars is lower than the supply.
(J) the value of the dollar rises, despite a decrease in demand for dollars.",F
"QUESTION9564) A car travels at the constant speed of 30 mph for 20 miles, at a speed of 40 mph for the next 20 miles, and then travels the final 20 miles at 50 mph. What was the average speed for the trip?
(A) 36 mph
(B) 43.3 mph
(C) 45 mph
(D) 33.3 mph
(E) 35 mph
(F) 41.7 mph
(G) 42 mph
(H) 37.5 mph
(I) 38.2 mph
(J) 40 mph",I
"QUESTION8396) John has 12 marbles of different colors, including one red, one green, and one blue marble. In how many ways can he choose 4 marbles, if exactly one of the chosen marbles is red, green, or blue?
(A) 84
(B) 441
(C) 300
(D) 252
(E) 210
(F) 110
(G) 120
(H) 360
(I) 495
(J) 276",D
"QUESTION801) Assume that the following charges (flat rates) are made on $500 for a year and that the loan in each case is to be repaid in 12 equal monthly installments: (a) 3% , (b) 5%. What is the monthly payment and the true annual interest rate that the borrower is paying in each case? (Record interest rate correct to the nearest tenth of 1%.)
(A) Monthly payments: $43.92 at 3% and $42.75 at 5%; True annual interest rates: 5.2% at 3% and 9.5% at 5%
(B) Monthly payments: $42.92 at 3% and $43.75 at 5%; True annual interest rates: 5.5% at 3% and 9.2% at 5%
(C) Monthly payments: $41.67 at 3% and $44.17 at 5%; True annual interest rates: 6.8% at 3% and 10.9% at 5%
(D) Monthly payments: $42.50 at 3% and $43.33 at 5%; True annual interest rates: 4.8% at 3% and 8.7% at 5%
(E) Monthly payments: $41.92 at 3% and $44.75 at 5%; True annual interest rates: 6.5% at 3% and 10.2% at 5%
(F) Monthly payments: $41.25 at 3% and $45.42 at 5%; True annual interest rates: 3.8% at 3% and 7.9% at 5%
(G) Monthly payments: $45.00 at 3% and $40.00 at 5%; True annual interest rates: 7.5% at 3% and 12.0% at 5%
(H) Monthly payments: $43.75 at 3% and $42.92 at 5%; True annual interest rates: 5.0% at 3% and 8.5% at 5%
(I) Monthly payments: $44.17 at 3% and $41.67 at 5%; True annual interest rates: 6.2% at 3% and 11.1% at 5%
(J) Monthly payments: $42.92 at 3% and $43.75 at 5%; True annual interest rates: 4.5% at 3% and 8.2% at 5%",B
"QUESTION3976) 1 mole of ammonia at - 33.33°C and 1.00atmis converted to vapor. Calculate q, w and \DeltaE for the conversion, given that \DeltaH = 589.3 Btu lb^-1. 1 lb of liquid occupies .02345 ft^3 and 1 lb of gas occupies 18.00 ft^3.
(A) q = 1.94 kJ mol^-1, w = 23.33 kJ mol^-1, \DeltaE = 21.39 kJ mol^-1
(B) q = 21.39 kJ mol^-1, w = 23.33 kJ mol^-1, ΔE = -1.94 kJ mol^-1
(C) q = 23.33 kJ mol^-1, w = 21.39 kJ mol^-1, ΔE = 44.72 kJ mol^-1
(D) q = 1.94 kJ mol^-1, w = -21.39 kJ mol^-1, ΔE = 23.33 kJ mol^-1
(E) q = 23.33 kJ mol^-1, w = 1.94 kJ mol^-1, \DeltaE = 21.39 kJ mol^-1
(F) q = 1.94 kJ mol^-1, w = 23.33 kJ mol^-1, ΔE = 25.27 kJ mol^-1
(G) q = 589.3 kJ mol^-1, w = 0 kJ mol^-1, ΔE = 589.3 kJ mol^-1
(H) q = 21.39 kJ mol^-1, w = 1.94 kJ mol^-1, \DeltaE = 23.33 kJ mol^-1
(I) q = 21.39 kJ mol^-1, w = -1.94 kJ mol^-1, ΔE = 19.45 kJ mol^-1
(J) q = 23.33 kJ mol^-1, w = 21.39 kJ mol^-1, \DeltaE = 1.94 kJ mol^-1",E
"QUESTION6503) A 35-year-old female develops nausea and vomiting after she underwent a cholecystectomy for protracted ileus. Her body mass index was 23 kg/m2 before surgery, and, except for the cholecystitis, she was in good health. The patient remains unable to eat 6 days after surgery. Which of the following forms of nutritional support is most appropriate for this patient?
(A) oral protein-rich diet
(B) feeding through a nasogastric feeding tube
(C) feeding through a jejunostomy tube
(D) central hyperalimentation
(E) intravenous saline solution
(F) peripheral hyperalimentation
(G) oral carbohydrate-rich diet
(H) feeding through a gastrostomy tube
(I) oral fat-free modular diet
(J) intravenous dextrose solution",F
"QUESTION1757) Which of the following factors contributed significantly to the revival of natural law in the 20th century?
(A) The end of the Cold War
(B) The Bolshevik Revolution
(C) The international recognition of human rights after World War II
(D) The invention of the Internet
(E) The rise of Fascism
(F) The rise of Communism in China
(G) Depression of the 1930
(H) The advent of the Industrial Revolution",C
"QUESTION3165) During the mammalian cardiac cycle, a volume of blood equivalent to ventricular stroke volume is transferred from the more compliant venous side to the less compliant arterial side of the circulation. In terms of pressures within the venous and arterial compartments, this transfer results in
(A) an equal increase in both venous and arterial pressure
(B) little effect on venous pressure and a large increase in arterial pressure
(C) an increase in venous pressure and an equal but opposite decrease in arterial pressure
(D) a small decrease in venous pressure and a large increase in arterial pressure
(E) a large increase in venous pressure and a small increase in arterial pressure
(F) a decrease in venous pressure and no change in arterial pressure
(G) an increase in both venous and arterial pressure
(H) no change in pressure in either compartment
(I) no effect on venous pressure and a small increase in arterial pressure
(J) a decrease in both venous and arterial pressure",B
"QUESTION6741) Which of the following structures is derived from ectomesenchyme?
(A) Cardiac muscle
(B) Liver cells
(C) Blood vessels
(D) Adipose tissue
(E) Melanocytes
(F) Pancreatic cells
(G) Skeletal muscles
(H) Motor neurons",E
"QUESTION1737) This jurisdiction has the following criminal statute in effect:""A person is not responsible for criminal conduct if at the time of such conduct, as a result of mental disease or defect, he lacks substantial capacity to appreciate the wrongfulness of his conduct, or to conform his conduct to the requirements of law. ""One afternoon, a defendant was babysitting his five-year-old nephew. As they were playing catch outside, the defendant threw the ball over his nephew's head, and it rolled into the street. Instinctively, the nephew ran after the ball but tripped over the gutter and fell in the street. When he tripped, the nephew severely sprained his ankle and couldn't stand up. Moments later, a large garbage truck was backing up and ran over the nephew, killing him. Although the defendant saw his nephew's predicament, he made no effort to rescue him. Subsequently, the defendant was charged with involuntary manslaughter. At trial, the defendant testified that he was so shocked when he saw his nephew fall near the garbage truck that he froze and was unable to move until it was too late. Following the defendant's testimony, an expert witness testified for the defense that reactions of the sort described by the defendant are not unusual when a truly shocking event occurs. If the jury believes the testimony of the defendant and his expert witness, the defendant's best defense is which of the following?
(A) The defendant's actions were justifiable under the circumstances.
(B) The defendant's failure to act was not voluntary.
(C) The defendant was acting under duress.
(D) The defendant's actions were an accident, not a crime.
(E) The defendant was legally insane at the time of the incident.
(F) The defendant was not responsible for his nephew's safety.
(G) The defendant's criminal liability was superseded by that of the truck driver.
(H) The defendant was not present at the scene of the accident.
(I) The defendant was suffering from temporary insanity.
(J) The defendant lacked the requisite mental state required for the commission of the crime.",B
"QUESTION11532) Find the magnitude of E for a plane wave in free space, if the magnitude of H for this wave is 5 amp/meter.
(A) 1200 volts/meter
(B) 5 ohms
(C) 1883 volts/meter
(D) 940.5 volts/meter
(E) 5 volts/meter
(F) 1883 ohms
(G) 600 volts/meter
(H) 376.7 volts/meter
(I) 75.34 ohms
(J) 75.34 volts/meter",C
